,M
650,-201
651,-181
652,-122
653,-148
654,-151
655,-158
656,-139
657,-112
658,-152
659,-97
660,-136
661,-155
662,-186
663,-185
664,-150
665,-141
666,-165
667,-187
668,-187
669,-194
670,-206
671,-134
672,-149
673,-146
674,-127
675,-141
676,-176
677,-167
678,-143
679,-112
680,-127
681,-141
682,-123
683,-136
684,-140
685,-154
686,-127
687,-123
688,-96
689,-130
690,-152
691,-190
692,-198
693,-153
694,-159
695,-136
696,-90
697,-83
698,-70
699,-86
700,-100
701,-45
702,-29
703,-73
704,-100
705,-117
706,-75
707,-90
708,-138
709,-97
710,-107
711,-123
712,-97
713,-53
714,-51
715,-25
716,-70
717,-72
718,-85
719,-72
720,-79
721,-104
722,-109
723,-136
724,-148
725,-83
726,-24
727,-75
728,-103
729,-97
730,-124
731,-90
732,-49
733,-43
734,-40
735,-51
736,-84
737,-118
738,-80
739,-93
740,-95
741,-88
742,-101
743,-125
744,-116
745,-118
746,-124
747,-116
748,-83
749,-113
750,-104
751,-90
752,-125
753,-112
754,-131
755,-143
756,-106
757,-131
758,-137
759,-113
760,-80
761,-102
762,-129
763,-81
764,-42
765,-12
766,10
767,-1
768,12
769,-49
770,-14
771,17
772,23
773,28
774,-21
775,-64
776,-71
777,-70
778,-42
779,21
780,-14
781,-67
782,-78
783,-66
784,-62
785,-62
786,-35
787,34
788,56
789,23
790,-27
791,-6
792,35
793,21
794,50
795,67
796,31
797,6
798,-39
799,-13
800,-25
801,-14
802,-14
803,-38
804,-117
805,-72
806,-57
807,-70
808,-17
809,20
810,13
811,4
812,-31
813,-32
814,-76
815,-45
816,-29
817,-52
818,-66
819,-84
820,-39
821,-38
822,-60
823,-82
824,-34
825,-44
826,-80
827,-58
828,-43
829,-16
830,16
831,-31
832,18
833,31
834,50
835,44
836,35
837,4
838,-22
839,0
840,3
841,-66
842,-56
843,8
844,2
845,-18
846,-27
847,-70
848,-79
849,1
850,-9
851,-69
852,-56
853,3
854,1
855,-41
856,-18
857,-25
858,-22
859,3
860,0
861,-31
862,-45
863,13
864,-47
865,-78
866,-81
867,-44
868,-8
869,-6
870,12
871,-45
872,-80
873,-66
874,-66
875,-48
876,-62
877,-62
878,-44
879,-81
880,-38
881,-42
882,-43
883,-37
884,-25
885,-169
886,-186
887,-144
888,-86
889,-45
890,-79
891,-77
892,-77
893,-86
894,-40
895,-17
896,-45
897,-15
898,19
899,6
900,11
901,-2
902,-24
903,-38
904,-94
905,-130
906,-126
907,-165
908,-108
909,-148
910,-156
911,-169
912,-196
913,-170
914,-95
915,-77
916,-107
917,-41
918,-72
919,-106
920,-98
921,-114
922,-120
923,-151
924,-148
925,-81
926,-132
927,-214
928,-197
929,-174
930,-147
931,-90
932,-152
933,-208
934,-237
935,-178
936,-214
937,-236
938,-165
939,-190
940,-221
941,-193
942,-210
943,-217
944,-106
945,-135
946,-116
947,-91
948,-54
949,-81
950,-111
951,-166
952,-145
953,-104
954,-94
955,-131
956,-228
957,-157
958,-196
959,-175
960,-145
961,-150
962,-71
963,-84
964,-243
965,-228
966,-98
967,-144
968,-106
969,-100
970,-139
971,-62
972,-73
973,-10
974,-65
975,9
976,15
977,-137
978,-20
979,-163
980,-250
981,-183
982,-100
983,-185
984,-114
985,-35
986,-178
987,-89
988,21
989,-69
990,-10
991,20
992,-15
993,69
994,-11
995,-30
996,-45
997,51
998,22
999,28
1000,1
1001,-103
1002,-115
1003,-125
1004,-137
1005,-146
1006,-137
1007,-8
1008,-17
1009,1
1010,-28
1011,-12
1012,-34
1013,49
1014,52
1015,85
1016,58
1017,11
1018,-18
1019,106
1020,22
1021,-59
1022,-69
1023,13
1024,59
1025,6
1026,18
1027,-163
1028,-156
1029,-2
1030,22
1031,-32
1032,-90
1033,-83
1034,-23
1035,-47
1036,-13
1037,-43
1038,40
1039,-6
1040,-42
1041,-12
1042,33
1043,3
1044,137
1045,69
1046,-15
1047,-72
1048,-54
1049,1
1050,-118
1051,-81
1052,-34
1053,-180
1054,-112
1055,-81
1056,11
1057,-115
1058,-118
1059,7
1060,-117
1061,-53
1062,-107
1063,-102
1064,-22
1065,2
1066,-83
1067,-41
1068,140
1069,-6
1070,-36
1071,17
1072,-29
1073,40
1074,-35
1075,-165
1076,-122
1077,-73
1078,-114
1079,-268
1080,-208
1081,-30
1082,-67
1083,-33
1084,10
1085,-35
1086,40
1087,-8
1088,-163
1089,-119
1090,-93
1091,-59
1092,-53
1093,-25
1094,-63
1095,-96
1096,-45
1097,10
1098,-98
1099,-196
1100,-67
1101,-132
1102,-207
1103,-153
1104,54
1105,72
1106,-25
1107,-90
1108,-45
1109,-49
1110,-101
1111,-54
1112,-129
1113,-143
1114,-37
1115,-111
1116,-52
1117,29
1118,-22
1119,92
1120,60
1121,-73
1122,-8
1123,22
1124,-67
1125,-150
1126,-150
1127,-139
1128,-140
1129,-211
1130,-108
1131,-25
1132,-152
1133,8
1134,81
1135,82
1136,187
1137,43
1138,50
1139,-50
1140,12
1141,61
1142,8
1143,100
1144,52
1145,0
1146,-36
1147,15
1148,-47
1149,-10
1150,176
1151,108
1152,-32
1153,-37
1154,20
1155,20
1156,-112
1157,18
1158,62
1159,-101
1160,-39
1161,-6
1162,-89
1163,-19
1164,-74
1165,-93
1166,70
1167,59
1168,-46
1169,-62
1170,-20
1171,31
1172,171
1173,81
1174,157
1175,34
1176,6
1177,42
1178,-166
1179,66
1180,19
1181,157
1182,110
1183,-32
1184,1
1185,-101
1186,-19
1187,27
1188,-55
1189,173
1190,-10
1191,74
1192,35
1193,92
1194,289
1195,-3
1196,98
1197,113
1198,-49
1199,-191
1200,-92
1201,10
1202,-30
1203,-164
1204,-128
1205,-358
1206,8
1207,71
1208,-18
1209,115
1210,-30
1211,-18
1212,95
1213,-43
1214,77
1215,74
1216,164
1217,-82
1218,-128
1219,90
1220,21
1221,15
1222,-103
1223,-57
1224,-104
1225,-129
1226,11
1227,-182
1228,-130
1229,-129
1230,-41
1231,-7
1232,-69
1233,29
1234,-84
1235,44
1236,85
1237,44
1238,119
1239,-70
1240,220
1241,62
1242,-168
1243,39
1244,-176
1245,38
1246,50
1247,-53
1248,-127
1249,-42
1250,-38
1251,-104
1252,-201
1253,-59
1254,107
1255,-188
1256,-61
1257,49
1258,-65
1259,79
1260,-68
1261,147
1262,9
1263,-54
1264,69
1265,-128
1266,6
1267,-78
1268,-173
1269,91
1270,-21
1271,-17
1272,-15
1273,-108
1274,15
1275,38
1276,68
1277,123
1278,52
1279,189
1280,35
1281,99
1282,44
1283,18
1284,48
1285,20
1286,-19
1287,-28
1288,-127
1289,-127
1290,-296
1291,-72
1292,-135
1293,-168
1294,-41
1295,-105
1296,193
1297,-53
1298,34
1299,-201
1300,23
1301,-80
1302,-86
