,M
2614,-979
2615,599
2616,-526
2617,41
2618,-219
2619,-275
2620,-291
2621,-515
2622,459
2623,-130
2624,-509
2625,265
2626,2
2627,-73
2628,141
2629,-388
2630,404
2631,-628
2632,173
2633,176
2634,-472
2635,-173
2636,-8
2637,511
2638,-1484
2639,1400
2640,-594
2641,-287
2642,-350
2643,641
2644,-326
2645,-35
2646,-232
2647,538
2648,-217
2649,25
2650,-34
2651,-34
2652,-10
2653,-17
2654,641
2655,-1096
2656,530
2657,-189
2658,-207
2659,-755
2660,298
2661,-516
2662,40
2663,-531
2664,799
2665,-214
2666,-717
2667,30
2668,917
2669,-1236
2670,480
2671,252
2672,-1192
2673,1109
2674,-781
2675,296
2676,-371
2677,207
2678,23
2679,-297
2680,478
2681,-293
2682,-140
2683,246
2684,-286
2685,-213
2686,-19
2687,147
2688,-111
2689,461
2690,-422
2691,-557
2692,919
2693,-1332
2694,625
2695,155
2696,-385
2697,129
2698,-486
2699,533
2700,-290
2701,-413
2702,205
2703,-352
2704,567
2705,-1167
2706,1143
2707,-799
2708,-34
2709,-334
2710,-12
2711,521
2712,-465
2713,726
2714,-165
2715,-706
2716,-109
2717,442
2718,458
2719,-590
2720,232
2721,-5
2722,-620
2723,786
2724,-606
2725,289
2726,-654
2727,74
2728,-287
2729,-179
2730,-400
2731,-111
2732,1069
2733,-857
2734,-23
2735,395
2736,-979
2737,486
2738,-216
2739,-42
2740,-384
2741,291
2742,-451
2743,65
2744,-17
2745,164
2746,56
2747,-298
2748,16
2749,163
2750,-204
2751,216
2752,-471
2753,761
2754,-1508
2755,1494
2756,-1807
2757,1095
2758,-625
2759,148
2760,298
2761,-526
2762,12
2763,-75
2764,-194
2765,-102
2766,47
2767,425
2768,-140
2769,-36
2770,-425
2771,562
2772,-551
2773,50
2774,479
2775,-869
2776,907
2777,-306
2778,-257
2779,-439
2780,365
2781,-152
2782,-147
2783,115
2784,-628
2785,800
2786,-288
2787,-952
2788,743
2789,-320
2790,-116
2791,249
2792,-196
2793,422
2794,-872
2795,1089
2796,-1034
2797,-411
2798,633
2799,-993
2800,930
2801,-1943
2802,1548
2803,-1382
2804,998
2805,-218
2806,-870
2807,908
2808,159
2809,-454
2810,169
2811,-835
2812,91
2813,508
2814,70
2815,-571
2816,532
2817,87
2818,-1237
2819,775
2820,-669
2821,452
2822,496
2823,-1054
2824,278
2825,-254
2826,660
2827,-806
2828,681
2829,117
2830,-1410
2831,1121
2832,-515
2833,314
2834,140
2835,-215
2836,-46
2837,-766
2838,1394
2839,-1468
2840,595
2841,455
2842,-1248
2843,-114
2844,451
2845,371
2846,-343
2847,162
2848,-611
2849,292
2850,453
2851,-833
2852,803
2853,-1284
2854,-112
2855,1017
2856,-1636
2857,1136
2858,-717
2859,293
2860,-285
2861,105
2862,-54
2863,-1068
2864,999
2865,-904
2866,403
2867,-107
2868,-502
2869,6
2870,-231
2871,507
2872,-867
2873,-36
2874,41
2875,-275
2876,-154
2877,262
2878,88
2879,-715
2880,324
2881,500
2882,-849
2883,1075
2884,-1706
2885,982
2886,-646
2887,1368
2888,-2082
2889,1304
2890,-935
2891,631
2892,815
2893,-1481
2894,674
2895,-375
2896,-188
2897,107
2898,-453
2899,-9
2900,-81
2901,-149
2902,-396
2903,610
2904,-637
2905,-420
2906,288
2907,-792
2908,1125
2909,-1124
2910,970
2911,-719
2912,254
2913,-66
2914,-242
2915,69
2916,-739
2917,1951
2918,-1944
2919,361
2920,515
2921,-860
2922,316
2923,137
2924,-397
2925,-115
2926,453
2927,-54
2928,-428
2929,692
2930,-409
2931,-35
2932,423
2933,-137
2934,-342
2935,-323
2936,-40
2937,-41
2938,243
2939,-113
2940,-869
2941,281
2942,-112
2943,103
2944,-627
2945,412
2946,-128
2947,-45
2948,-344
2949,72
2950,-489
2951,271
2952,220
2953,-424
2954,259
2955,-758
2956,281
2957,-47
2958,273
2959,-596
2960,113
2961,-161
2962,-353
2963,-310
2964,275
2965,-259
2966,-427
2967,242
2968,124
2969,-198
2970,-205
2971,-266
2972,109
2973,398
2974,-609
2975,249
2976,-641
2977,550
2978,-1278
2979,1752
2980,-527
2981,-504
2982,193
2983,-797
2984,845
2985,-1394
2986,1292
2987,-1049
2988,262
2989,-445
2990,171
2991,-148
2992,-157
2993,816
2994,-1110
2995,1215
2996,-1725
2997,1126
2998,101
2999,-204
3000,143
3001,-43
3002,-446
3003,-87
3004,-152
3005,771
3006,-1115
3007,1369
3008,-818
3009,640
3010,-728
3011,-176
3012,334
3013,373
3014,-431
3015,40
3016,162
3017,-1174
3018,1167
3019,-321
3020,-305
3021,390
3022,-638
3023,517
3024,-444
3025,53
3026,-59
3027,-256
3028,349
3029,-566
3030,-92
3031,-366
3032,113
3033,644
3034,-912
3035,359
3036,-23
3037,-185
3038,135
3039,-328
3040,-105
3041,-296
3042,375
3043,-980
3044,635
3045,348
3046,194
3047,-1137
3048,911
3049,-201
3050,38
3051,100
3052,-378
3053,-278
3054,438
3055,-310
3056,-110
3057,441
3058,-166
3059,-772
3060,839
3061,-1095
3062,376
3063,-130
3064,-15
3065,-786
3066,461
3067,117
3068,-411
3069,-540
3070,1283
3071,-1254
3072,904
3073,-308
3074,-376
3075,-192
3076,402
3077,-302
3078,-535
3079,157
3080,-570
3081,182
3082,-18
3083,100
3084,-494
3085,345
3086,-67
3087,-945
3088,544
3089,-318
3090,-196
3091,616
3092,-348
3093,-913
3094,436
3095,-363
3096,-6
3097,0
3098,-193
3099,-98
3100,204
3101,-99
3102,-266
3103,678
3104,-607
3105,-124
3106,444
3107,-59
3108,-747
3109,-35
3110,0
3111,-172
3112,-154
3113,1544
3114,-2027
3115,893
3116,-74
3117,-74
3118,416
3119,-330
3120,16
3121,482
3122,-783
3123,-237
3124,-135
3125,883
3126,-663
3127,414
3128,-269
3129,-756
3130,790
3131,-557
3132,280
3133,-420
3134,-349
3135,391
3136,-120
3137,96
3138,-861
3139,1159
3140,-1140
3141,295
3142,123
3143,-878
3144,1188
3145,-1613
3146,1250
3147,-628
3148,-382
3149,1844
3150,-2681
3151,2189
3152,-1582
3153,1038
3154,-761
3155,521
3156,-79
3157,-1778
3158,2229
3159,-2433
3160,1658
3161,-201
3162,-148
3163,281
3164,-1509
3165,2348
3166,-2124
3167,1438
3168,-261
3169,-545
3170,548
3171,-1097
3172,968
3173,-1679
3174,1655
3175,-1195
3176,568
3177,-5
3178,-1478
3179,2164
3180,-2244
3181,2018
3182,-2170
3183,1478
3184,-929
3185,-56
3186,723
3187,-1411
3188,1181
3189,-737
3190,583
3191,-235
3192,-20
3193,-328
3194,-380
3195,1210
3196,-777
3197,511
3198,-1250
3199,918
3200,-1454
3201,1266
3202,2
3203,-1062
3204,1015
3205,-1206
3206,540
3207,-781
3208,1471
3209,-1578
3210,894
3211,60
3212,-1221
3213,1175
3214,257
3215,-954
3216,609
3217,-440
3218,-517
3219,-61
3220,778
3221,-326
3222,-283
3223,-77
3224,136
3225,-1199
3226,1187
3227,-749
3228,784
3229,-269
3230,-391
3231,290
3232,35
3233,28
3234,-454
3235,567
3236,-1137
3237,-84
3238,141
3239,-441
3240,502
3241,-466
3242,75
3243,-543
3244,564
3245,-383
3246,-189
3247,6
3248,202
3249,-326
3250,-295
3251,176
3252,48
3253,-632
3254,1053
3255,-1014
3256,132
3257,481
3258,-1102
3259,646
3260,-165
3261,-583
3262,-149
3263,481
3264,182
3265,-1093
3266,1674
3267,-1725
3268,524
3269,196
3270,-1230
3271,2140
3272,-1837
3273,1420
3274,-1085
3275,597
3276,-814
3277,405
3278,90
3279,-1372
3280,1782
3281,-1866
3282,796
3283,-805
3284,552
3285,508
3286,-1227
3287,1239
3288,-1112
3289,1036
3290,-953
3291,256
3292,37
3293,-651
3294,631
3295,-885
3296,256
3297,181
3298,-886
3299,835
3300,-1344
3301,1630
3302,-1546
3303,715
3304,-785
3305,527
3306,-700
3307,1314
3308,-617
3309,-430
3310,643
3311,-357
3312,220
3313,-135
3314,375
3315,-701
3316,195
3317,-541
3318,391
3319,-199
3320,-632
3321,888
3322,-1254
3323,181
3324,-307
3325,-74
3326,535
3327,-483
3328,76
3329,-540
3330,346
3331,-358
3332,272
3333,60
3334,-833
3335,937
3336,-1240
3337,262
3338,675
3339,-1103
3340,1335
3341,-1219
3342,1692
3343,-1929
3344,1327
3345,-550
3346,-1379
3347,2819
3348,-3505
3349,2846
3350,-2053
3351,1173
3352,-180
3353,-90
3354,840
3355,-1701
3356,1905
3357,-1685
3358,1181
3359,-1147
3360,-462
3361,1698
3362,-1914
3363,1550
3364,-2163
3365,1548
3366,-1294
3367,365
3368,1047
3369,-1351
3370,1958
3371,-2329
3372,1715
3373,-723
3374,-600
3375,868
3376,-1699
3377,2470
3378,-2612
3379,2383
3380,-2608
3381,1231
3382,44
3383,-884
3384,1269
3385,-1555
3386,1994
3387,-2126
3388,1740
3389,-1613
3390,928
3391,512
3392,-1306
3393,1577
3394,-1209
3395,602
3396,-867
3397,401
3398,517
3399,-1351
3400,1353
3401,-1404
3402,1249
3403,-1222
3404,792
3405,224
3406,-658
3407,1311
3408,-2453
3409,1753
3410,-1480
3411,604
3412,-97
3413,-247
3414,483
3415,-1594
3416,1006
3417,-625
3418,242
3419,-467
3420,1018
3421,-459
3422,-407
3423,699
3424,-1037
3425,852
3426,-944
3427,1036
3428,-911
3429,218
3430,-8
3431,-44
3432,-301
3433,317
3434,408
3435,-1288
3436,1159
3437,-260
3438,-182
3439,-96
3440,812
3441,-1376
3442,123
3443,-320
3444,-575
3445,555
3446,-473
3447,71
3448,501
3449,-770
3450,335
3451,-903
3452,342
3453,539
3454,-803
3455,482
3456,-1358
3457,1495
3458,-1387
3459,1076
3460,-966
3461,638
3462,-463
3463,-293
3464,258
3465,-335
3466,680
3467,-297
3468,-386
3469,527
3470,-520
3471,545
3472,-1194
3473,826
3474,-709
3475,-152
3476,992
3477,-1884
3478,933
3479,-654
3480,155
3481,132
3482,405
3483,-310
3484,-180
3485,-6
3486,-70
3487,-522
3488,734
3489,-891
3490,306
3491,-495
3492,620
3493,-569
3494,-37
3495,309
3496,-767
3497,716
3498,27
3499,-719
3500,437
3501,291
3502,-712
3503,340
3504,-546
3505,-417
3506,346
3507,137
3508,-748
3509,856
3510,-750
3511,371
3512,-728
3513,330
3514,-67
3515,20
3516,-893
3517,491
3518,-793
3519,995
3520,-1303
3521,450
3522,-505
3523,-23
3524,-286
3525,-60
3526,656
3527,-834
3528,623
3529,-104
3530,-17
3531,-151
3532,-47
3533,265
3534,-275
3535,368
3536,-890
3537,752
3538,-87
3539,-38
3540,403
3541,-498
3542,161
3543,489
3544,-1360
3545,1488
3546,-1520
3547,473
3548,84
3549,-290
3550,-319
3551,-266
3552,241
3553,-862
3554,459
3555,-176
3556,567
3557,-1094
3558,424
3559,-256
3560,-638
3561,837
3562,-734
3563,102
3564,-293
3565,-74
3566,-607
3567,381
3568,-84
3569,-457
3570,543
3571,-621
3572,-137
3573,76
3574,-16
3575,-620
3576,828
3577,26
3578,-1153
3579,1385
3580,-1548
3581,705
3582,-137
3583,-140
3584,664
3585,-1026
3586,180
3587,-1304
3588,1642
3589,-1193
3590,782
3591,-572
3592,-284
3593,631
3594,-1688
3595,1887
3596,-1276
3597,413
3598,114
3599,82
3600,185
3601,-1220
3602,1298
3603,-1623
3604,618
3605,234
3606,-885
3607,673
3608,-923
3609,127
3610,141
3611,51
3612,-168
3613,-675
3614,483
3615,-1151
3616,884
3617,-630
3618,311
3619,-413
3620,15
3621,334
3622,-513
3623,560
3624,-158
3625,412
3626,-514
3627,-415
3628,821
3629,-1985
3630,1765
3631,-945
3632,-92
3633,54
3634,-486
3635,469
3636,-349
3637,367
3638,-871
3639,295
3640,429
3641,-914
3642,1300
3643,-1567
3644,1340
3645,-1402
3646,49
3647,422
3648,-1306
3649,2376
3650,-2902
3651,1776
3652,-1267
3653,1080
3654,-658
3655,892
3656,-1650
3657,350
3658,525
3659,-1149
3660,1599
3661,-1615
3662,675
3663,106
3664,-1218
3665,957
3666,-683
3667,987
3668,-1582
3669,1428
3670,-481
3671,-1165
3672,1992
3673,-2573
3674,2100
3675,-1856
3676,1639
3677,-1186
3678,537
3679,-114
3680,-1478
3681,3055
3682,-4043
3683,3811
3684,-2418
3685,423
3686,842
3687,-2001
3688,2450
3689,-2745
3690,1621
3691,-623
3692,-206
3693,605
3694,-1144
3695,1701
3696,-2421
3697,2878
3698,-2581
3699,852
3700,1080
3701,-2539
3702,2760
3703,-2494
3704,1657
3705,-1916
3706,1279
3707,-990
3708,-637
3709,1789
3710,-1804
3711,1163
3712,-1204
3713,153
3714,466
3715,-916
3716,1776
3717,-2369
3718,1142
3719,-986
3720,942
3721,-104
3722,-299
3723,647
3724,-669
3725,333
3726,-1146
3727,1167
3728,236
3729,-706
3730,591
3731,-391
3732,-295
3733,179
3734,991
3735,-1254
3736,478
3737,-700
3738,-357
3739,917
3740,-961
3741,895
3742,-1072
3743,1134
3744,-1453
3745,1113
3746,-566
3747,521
3748,-652
3749,-506
3750,692
3751,-895
3752,281
3753,-184
3754,266
3755,560
3756,-1038
3757,190
3758,-921
3759,650
3760,361
3761,-903
3762,898
3763,-1561
3764,1461
3765,-1275
3766,139
3767,759
3768,373
3769,-677
3770,-54
3771,-382
3772,-665
3773,915
3774,98
3775,-1315
3776,1626
3777,-1295
3778,-329
3779,337
3780,-353
3781,78
3782,450
3783,-408
3784,-104
3785,-437
3786,448
3787,-870
3788,717
3789,-942
3790,896
3791,-657
3792,-347
3793,985
3794,-973
3795,619
3796,-746
3797,653
3798,-480
3799,462
3800,-672
3801,906
3802,-765
3803,91
3804,297
3805,-542
3806,-647
3807,1306
3808,-1514
3809,493
3810,-401
3811,210
3812,-468
3813,161
3814,351
3815,-763
3816,1390
3817,-1517
3818,681
3819,-342
3820,256
3821,-269
3822,-356
3823,547
3824,-1629
3825,1438
3826,-1175
3827,1073
3828,-924
3829,-502
3830,1009
3831,-979
3832,1256
3833,-931
3834,346
3835,-47
3836,-935
3837,809
3838,-890
3839,1187
3840,-1180
3841,956
3842,-608
3843,-662
3844,1044
3845,-812
3846,923
3847,-1658
3848,1202
3849,-989
3850,-248
3851,1067
3852,-1032
3853,1274
3854,-1097
3855,-113
3856,-338
3857,490
3858,-590
3859,358
3860,557
3861,-1286
3862,1173
3863,-573
3864,683
3865,-971
3866,255
3867,178
3868,110
3869,-546
3870,-223
3871,146
3872,-1084
3873,981
3874,216
3875,-819
3876,1140
3877,-1008
3878,175
3879,-186
3880,481
3881,-209
3882,582
3883,-508
3884,-411
3885,714
3886,-1297
3887,1409
3888,-926
3889,114
3890,159
3891,-823
3892,651
3893,-688
3894,-27
3895,56
3896,306
3897,-368
3898,-332
3899,46
3900,-682
3901,1128
3902,-797
3903,128
3904,-832
3905,33
3906,277
3907,-904
3908,1418
3909,-1695
3910,964
3911,-1565
3912,220
3913,381
3914,-87
3915,8
3916,-468
3917,648
3918,-887
3919,1006
3920,-506
3921,-375
3922,572
3923,-848
3924,1392
3925,-1759
3926,569
3927,178
3928,-167
3929,496
3930,-533
3931,-822
3932,1239
3933,-1241
3934,622
3935,-428
3936,485
3937,-729
3938,-289
3939,312
3940,-1426
3941,702
3942,496
3943,-266
3944,-209
3945,550
3946,-892
3947,817
3948,-506
3949,456
3950,-556
3951,210
3952,-825
3953,577
3954,-565
3955,386
3956,-194
3957,121
3958,-219
3959,-312
3960,433
3961,-333
3962,-13
3963,-154
3964,303
3965,-482
3966,190
3967,-722
3968,-155
3969,565
3970,-174
3971,38
3972,-45
3973,-66
3974,-1052
3975,906
3976,-426
3977,221
3978,-203
3979,-85
3980,-217
3981,242
3982,-33
3983,-357
3984,503
3985,-1457
3986,1296
3987,-1500
3988,873
3989,76
3990,-818
3991,358
3992,-530
3993,715
3994,-360
3995,-155
3996,82
3997,-383
3998,534
3999,-1028
4000,1036
4001,-1829
4002,957
4003,772
4004,-2194
4005,2161
4006,-1941
4007,1369
4008,-518
4009,696
4010,-274
4011,-332
4012,716
4013,-1585
4014,1926
4015,-1315
4016,-20
4017,1150
4018,-1516
4019,1245
4020,-1682
4021,896
4022,-159
4023,-39
4024,303
4025,-888
4026,1075
4027,-1249
4028,1354
4029,-908
4030,-478
4031,1034
4032,-942
4033,727
4034,-1156
4035,484
4036,-640
4037,341
4038,27
4039,-867
4040,1672
4041,-2098
4042,1384
4043,-708
4044,383
4045,-329
4046,155
4047,10
4048,-1265
4049,1121
4050,-861
4051,33
4052,536
4053,-892
4054,338
4055,296
4056,-1
4057,-596
4058,90
4059,302
4060,-745
4061,1006
4062,-1412
4063,698
4064,-730
4065,-20
4066,-20
4067,-271
4068,-3
4069,52
4070,-435
4071,-310
4072,963
4073,-698
4074,496
4075,-323
4076,-200
4077,91
4078,351
4079,-426
4080,-83
4081,10
4082,-344
4083,414
4084,209
4085,-330
4086,-21
4087,-199
4088,356
4089,-1028
4090,1344
4091,-996
4092,421
4093,328
4094,-774
4095,550
4096,-876
4097,670
4098,-140
4099,-330
4100,315
4101,-620
4102,178
4103,284
4104,375
4105,-302
4106,-406
4107,209
4108,-415
4109,-78
4110,295
4111,-780
4112,799
4113,-888
4114,54
4115,-551
4116,1084
4117,-827
4118,202
4119,548
4120,-792
4121,584
4122,-214
4123,-338
4124,165
4125,-733
4126,1114
4127,-1333
4128,755
4129,-326
4130,-533
4131,1343
4132,-1897
4133,944
4134,-1181
4135,1179
4136,-740
4137,-176
4138,692
4139,-1457
4140,1978
4141,-1509
4142,662
4143,-639
4144,-45
4145,430
4146,-895
4147,1701
4148,-1795
4149,1603
4150,-1700
4151,348
4152,336
4153,-1383
4154,1831
4155,-1917
4156,949
4157,-676
4158,502
4159,-298
4160,-181
4161,837
4162,-1352
4163,1632
4164,-1291
4165,730
4166,-401
4167,33
4168,185
4169,-798
4170,493
4171,-581
4172,595
4173,-394
4174,534
4175,-591
4176,106
4177,586
4178,-1886
4179,1469
4180,-1007
4181,-529
4182,1130
4183,-883
4184,340
4185,-1073
4186,803
4187,-1348
4188,1344
4189,-649
4190,-243
4191,653
4192,-934
4193,318
4194,-78
4195,49
4196,-968
4197,914
4198,-611
4199,-332
4200,756
4201,-1282
4202,468
4203,84
4204,-619
4205,342
4206,171
4207,-58
4208,-579
4209,589
4210,-794
4211,258
4212,308
4213,-808
4214,296
4215,-1261
4216,1406
4217,-1543
4218,1733
4219,-507
4220,-38
4221,455
4222,-1090
4223,1071
4224,-1379
4225,827
4226,-230
4227,-12
4228,520
4229,-815
4230,95
4231,-92
4232,173
4233,-422
4234,369
4235,81
4236,-157
4237,91
4238,-435
4239,552
4240,-423
4241,474
4242,-336
4243,-595
4244,846
4245,-1186
4246,661
4247,-870
4248,391
4249,-277
4250,-729
4251,1417
4252,-1855
4253,1015
4254,-1187
4255,1325
4256,-1078
4257,783
4258,-613
4259,-125
4260,158
4261,-279
4262,423
4263,-258
4264,886
4265,-989
4266,-762
4267,1377
4268,-1421
4269,768
4270,-335
4271,61
4272,-58
4273,-369
4274,305
4275,-449
4276,473
4277,-409
4278,648
4279,-692
4280,222
4281,-398
4282,295
4283,-223
4284,582
4285,-1048
4286,729
4287,-985
4288,246
4289,-72
4290,451
4291,-785
4292,375
4293,183
4294,-690
4295,570
4296,-697
4297,371
4298,-1148
4299,668
4300,-542
4301,363
4302,251
4303,-737
4304,543
4305,-543
4306,477
4307,-972
4308,694
4309,-353
4310,820
4311,-860
4312,463
4313,-907
4314,458
4315,-284
4316,797
4317,-1102
4318,984
4319,-737
4320,-161
4321,1183
4322,-828
4323,-292
4324,24
4325,-174
4326,-204
4327,360
4328,-32
4329,-69
4330,-346
4331,560
4332,-599
4333,159
4334,-808
4335,288
4336,161
4337,127
4338,-126
4339,140
4340,-932
4341,1163
4342,-1127
4343,509
4344,42
4345,-199
4346,156
4347,-498
4348,472
4349,-677
4350,269
4351,8
4352,-483
4353,146
4354,389
4355,-603
4356,55
4357,-416
4358,688
4359,-1577
4360,1289
4361,187
4362,-1090
4363,625
4364,-198
4365,-368
4366,794
4367,-614
4368,-41
4369,-231
4370,742
4371,-1368
4372,571
4373,-16
4374,-168
4375,404
4376,-649
4377,500
4378,-649
4379,594
4380,-116
4381,-303
4382,-791
4383,1491
4384,-1639
4385,709
4386,-1603
4387,1655
4388,-770
4389,351
4390,-191
4391,323
4392,-753
4393,184
4394,264
4395,397
4396,-769
4397,621
4398,-631
4399,519
4400,-1035
4401,484
4402,23
4403,-237
4404,215
4405,-903
4406,710
4407,-510
4408,-1297
4409,1241
4410,-839
4411,325
4412,-1
4413,-689
4414,433
4415,-929
4416,1444
4417,-1074
4418,-15
4419,245
4420,107
4421,257
4422,-650
4423,579
4424,-444
4425,-815
4426,1163
4427,-710
4428,684
4429,-1003
4430,1156
4431,-1125
4432,1080
4433,-358
4434,297
4435,-644
4436,319
4437,-204
4438,213
4439,187
4440,464
4441,-760
4442,408
4443,-733
4444,148
4445,-459
4446,94
4447,657
4448,-1184
4449,658
4450,-474
4451,649
4452,41
4453,-307
4454,90
4455,12
4456,-972
4457,1502
4458,-1764
4459,775
4460,-599
4461,341
4462,-477
4463,523
4464,-700
4465,726
4466,-203
4467,22
4468,-708
4469,1299
4470,-754
4471,165
4472,109
4473,-888
4474,1085
4475,-929
4476,768
4477,-765
4478,428
4479,129
4480,-114
4481,701
4482,-533
4483,-344
4484,-180
4485,-709
4486,1332
4487,-1191
4488,563
4489,352
4490,-308
4491,756
4492,-595
4493,362
4494,-112
4495,-571
4496,9
4497,112
4498,-739
4499,318
4500,-74
4501,876
4502,-1557
4503,509
4504,284
4505,-641
4506,374
4507,-529
4508,863
4509,-417
4510,-1149
4511,1172
4512,-1172
4513,1201
4514,-1507
4515,1478
4516,-1201
4517,516
4518,-426
4519,31
4520,171
4521,-219
4522,-358
4523,457
4524,-1172
4525,620
4526,-862
4527,830
4528,-419
4529,-94
4530,514
4531,-747
4532,197
4533,309
4534,-655
4535,247
4536,-998
4537,1283
4538,-810
4539,-517
4540,740
4541,-1181
4542,688
4543,-321
4544,-197
4545,83
4546,-8
4547,79
4548,165
4549,-963
4550,591
4551,-17
4552,82
4553,-793
4554,926
4555,-976
4556,523
4557,-104
4558,610
4559,-5
4560,321
4561,-556
4562,588
4563,-489
4564,-506
4565,-73
4566,322
4567,-816
4568,939
4569,-1150
4570,220
4571,416
4572,-342
4573,371
4574,-154
4575,-753
4576,1466
4577,-1208
4578,543
4579,-120
4580,-126
4581,-566
4582,-171
4583,50
4584,24
4585,-514
4586,389
4587,-593
4588,1268
4589,-652
4590,-171
4591,424
4592,-789
4593,266
4594,-164
4595,-343
4596,-56
4597,-482
4598,1158
4599,-1262
4600,282
4601,-61
4602,49
4603,515
4604,-840
4605,274
4606,-118
4607,-260
4608,254
4609,-461
4610,91
4611,-6
4612,-541
4613,573
4614,143
4615,-498
4616,143
4617,-38
4618,-135
4619,361
4620,-563
4621,804
4622,-845
4623,155
4624,-199
4625,-211
4626,349
4627,-404
4628,861
4629,-527
4630,-348
4631,289
4632,-292
4633,520
4634,-704
4635,577
4636,-576
4637,494
4638,-500
4639,-552
4640,88
4641,110
4642,385
4643,361
4644,-680
4645,-34
4646,-81
4647,524
4648,-89
4649,-347
4650,278
4651,-306
4652,-748
4653,682
4654,-381
4655,132
4656,-424
4657,214
4658,268
4659,-602
4660,-329
4661,200
4662,-360
4663,476
4664,-699
4665,-1095
4666,662
4667,38
4668,26
4669,80
4670,604
4671,-288
4672,-83
4673,384
4674,-508
4675,160
4676,145
4677,-148
4678,294
4679,-688
4680,-322
4681,576
4682,-615
4683,-127
4684,32
4685,156
4686,-22
4687,101
4688,-904
4689,-664
4690,499
4691,-308
4692,668
4693,172
4694,-412
4695,103
4696,-363
4697,17
4698,372
4699,109
4700,-195
4701,193
4702,-214
4703,-667
4704,37
4705,-21
4706,210
4707,-204
4708,-351
4709,341
4710,-316
4711,-30
4712,115
4713,171
4714,60
4715,304
4716,106
4717,-346
4718,-547
4719,4
4720,269
4721,-212
4722,-93
4723,95
4724,-342
4725,-474
4726,-171
4727,7
4728,-196
4729,124
4730,186
4731,169
4732,-72
4733,-129
4734,215
4735,-302
4736,-4
4737,21
4738,-509
4739,202
4740,61
4741,-480
4742,-156
4743,93
4744,-137
4745,-238
4746,11
4747,-74
4748,-61
4749,-133
4750,260
4751,-221
4752,-610
4753,555
4754,-566
4755,-341
4756,-37
4757,-108
4758,-36
4759,-290
4760,198
4761,-407
4762,73
4763,-21
4764,-181
4765,-17
4766,106
4767,-205
4768,-442
4769,167
4770,-54
4771,-201
4772,-89
4773,-115
4774,-156
4775,-336
4776,-89
4777,340
4778,-296
4779,98
4780,9
4781,-454
4782,81
4783,91
4784,78
4785,88
4786,150
4787,-125
4788,-104
4789,-46
4790,-62
4791,-242
4792,200
4793,-96
4794,239
4795,-356
4796,-129
4797,-120
4798,-221
4799,127
4800,-105
4801,110
4802,2
4803,-199
4804,-191
4805,-399
4806,92
4807,-127
4808,29
4809,-67
4810,-318
4811,-257
4812,-127
4813,-101
4814,-65
4815,-129
4816,-256
4817,151
4818,-82
4819,-238
4820,-342
4821,-165
4822,-52
4823,-67
4824,-146
4825,-167
4826,-406
4827,164
4828,-136
4829,7
4830,-167
4831,-350
4832,22
4833,-221
4834,-10
4835,148
4836,-34
4837,25
4838,-120
4839,-58
4840,-182
4841,-30
4842,140
4843,153
4844,11
4845,154
4846,87
4847,34
4848,157
4849,155
4850,338
4851,17
4852,288
4853,108
4854,58
4855,192
4856,52
4857,-48
4858,232
4859,50
4860,-75
4861,-72
4862,41
4863,-229
4864,-202
4865,-229
4866,-95
4867,-323
4868,-307
4869,-397
4870,-363
4871,-457
4872,-328
4873,-636
4874,-481
4875,-576
4876,-599
4877,-572
4878,-757
4879,-477
4880,-646
4881,-346
4882,-571
4883,-326
4884,-672
4885,-707
4886,-105
4887,-323
4888,-105
4889,-410
4890,-280
4891,-260
4892,-289
4893,-170
4894,-122
4895,189
4896,-40
4897,-51
4898,79
4899,273
4900,427
4901,417
4902,652
4903,663
4904,775
4905,822
4906,1101
4907,679
4908,-312
4909,1210
4910,583
4911,926
4912,1228
4913,1455
4914,1732
4915,2123
4916,2423
4917,2437
4918,2713
4919,2786
4920,2600
4921,2477
4922,2253
4923,1648
4924,1087
4925,749
4926,-325
4927,-1063
4928,-2216
4929,-3437
4930,-4276
4931,-5061
4932,-5547
4933,-6476
4934,-6675
4935,-6588
4936,-6854
4937,-6271
4938,-5832
4939,-5073
4940,-4363
4941,-3368
4942,-2865
4943,-2059
4944,-1137
4945,-507
4946,-187
4947,469
4948,569
4949,721
4950,1069
4951,1266
4952,1270
4953,1604
4954,1850
4955,2176
4956,2730
4957,3312
4958,3101
4959,3259
4960,3941
4961,4760
4962,5137
4963,5584
4964,5876
4965,6591
4966,7616
4967,8695
4968,10229
4969,11202
4970,11619
4971,12357
4972,11943
4973,4607
4974,3
4975,-671
4976,-1146
4977,-3062
4978,-5399
4979,-9842
4980,-13658
4981,-13350
4982,-13651
4983,-14751
4984,-12246
4985,-8500
4986,-8188
4987,-8163
4988,-6233
4989,-4364
4990,51
4991,3248
4992,3320
4993,3001
4994,5049
4995,5546
4996,3932
4997,2748
4998,1218
4999,510
5000,-969
5001,-3866
5002,-6933
5003,-5933
5004,-4825
5005,-6505
5006,-7927
5007,-7155
5008,-4964
5009,-3349
5010,-3165
5011,-3869
5012,-1985
5013,766
5014,741
5015,257
5016,2368
5017,4094
5018,5348
5019,6894
5020,7371
5021,8207
5022,10209
5023,10980
5024,10536
5025,11824
5026,12656
5027,12599
5028,12333
5029,12864
5030,12658
5031,6732
5032,9
5033,-3199
5034,-2420
5035,-5056
5036,-7717
5037,-9992
5038,-13102
5039,-13912
5040,-12900
5041,-13534
